index_right,total_popu,under4,over85,vulnerable,mesh_block_count,vulnerable_pct,hospital_type
0,100.0,5.5,2.4,7.9,3780,7.9,Public
1,100.0,5.5,2.4,7.9,603,7.9,Public
2,100.0,5.5,2.4,7.8999999999999995,3444,7.9,Public
3,100.0,5.500000000000001,2.4,7.9,1311,7.9,Public
4,100.0,5.5,2.4,7.9,2071,7.9,Public
5,100.0,5.5,2.4,7.9,4405,7.9,Public
6,100.0,5.5,2.4,7.8999999999999995,1966,7.9,Public
7,100.0,5.5,2.4,7.900000000000001,213,7.900000000000001,Public
8,100.0,5.5,2.4,7.9,2286,7.9,Public
9,100.0,5.5,2.4,7.9,330,7.9,Public
10,100.0,5.5,2.4,7.900000000000001,3479,7.900000000000001,Public
11,100.0,5.5,2.4,7.9,697,7.9,Public
12,100.0,5.5,2.4,7.9,1020,7.9,Public
13,100.00000000000001,5.5,2.4,7.9,1578,7.899999999999999,Public
14,100.0,5.5,2.4,7.8999999999999995,1641,7.9,Public
15,100.0,5.5,2.4,7.9,3018,7.9,Public
16,100.0,5.5,2.4,7.9,3521,7.9,Public
17,100.0,5.5,2.4,7.9,2999,7.9,Public
18,100.0,5.5,2.4,7.9,2211,7.9,Public
19,100.0,5.5,2.4,7.9,2970,7.9,Public
20,100.0,5.5,2.4,7.9,3202,7.9,Public
21,100.0,5.5,2.4,7.8999999999999995,1449,7.9,Public
0,100.0,5.5,2.4,7.9,9363,7.9,Private
1,100.0,5.5,2.4,7.9,4935,7.9,Private
2,100.0,5.5,2.4,7.9,8404,7.9,Private
3,100.0,5.5,2.4,7.9,6472,7.9,Private
4,100.0,5.5,2.4,7.9,4147,7.9,Private
5,100.0,5.5,2.4,7.9,3494,7.9,Private
6,100.0,5.5,2.4,7.900000000000001,5179,7.900000000000001,Private
7,100.0,5.5,2.4,7.9,5508,7.9,Private
